,Local Best Weight,Average Accuracy,Average Precision,Average Recall
0,0.1,0.76,0.7572439378360432,0.7949999999999999
1,0.2,0.7649999999999999,0.7448989742141916,0.8099999999999999
2,0.30000000000000004,0.7799999999999999,0.7691156350043818,0.805
3,0.4,0.795,0.7796614136350979,0.8300000000000001
4,0.5,0.7875,0.7566549234306671,0.85
5,0.6,0.7875,0.7748520335947984,0.82
6,0.7000000000000001,0.7975000000000001,0.792215889545611,0.8150000000000001
7,0.8,0.7750000000000001,0.7771894471571412,0.7849999999999999
8,0.9,0.78,0.7673665007761119,0.8049999999999999
9,1.0,0.7975000000000001,0.8036864998755899,0.795
