,Inertia Weight,Average Accuracy,Average Precision,Average Recall
0,0.1,0.765,0.7840972540045766,0.7549999999999999
1,0.2,0.7724999999999999,0.77246286759411,0.78
2,0.30000000000000004,0.7675000000000001,0.7716908257011232,0.775
3,0.4,0.7674999999999998,0.7657412422458862,0.785
4,0.5,0.7775000000000001,0.7609486480973895,0.825
5,0.6,0.7625,0.7479921483745013,0.8
6,0.7000000000000001,0.7675000000000001,0.7536451530925214,0.805
7,0.8,0.7799999999999999,0.7740773407878672,0.8
8,0.9,0.7875,0.7751019594440647,0.8099999999999999
9,1.0,0.7700000000000001,0.7529784589933332,0.8049999999999999
