,Global Best Weight,Average Accuracy,Average Precision,Average Recall
0,0.1,0.79,0.7606546207415772,0.8499999999999999
1,0.2,0.7925000000000001,0.7832068230523608,0.825
2,0.30000000000000004,0.7875,0.7626157252358625,0.8399999999999999
3,0.4,0.8150000000000001,0.7966008991008992,0.8549999999999999
4,0.5,0.785,0.7815564817019925,0.805
5,0.6,0.8,0.7973630695095226,0.8150000000000001
6,0.7000000000000001,0.79,0.7936676986584107,0.79
7,0.8,0.78,0.7745433749257279,0.8
8,0.9,0.7875000000000001,0.7778141348650501,0.8099999999999999
9,1.0,0.7775000000000001,0.7674847156253806,0.8049999999999999
